baseline,platt,isotonic,y_true
0.22062813138010873,0.037659970099408704,0.028830114952201807,0
0.5266681752128224,0.14175242379729647,0.15344227063534366,0
0.3636192639810837,0.06344133578795823,0.07347606505039343,0
0.5439602323116849,0.15299774580703257,0.16419857315635206,0
0.05358844356785076,0.016154906597945398,0.0,0
0.2333443144678029,0.0400226916467783,0.03145383844002585,0
0.1437020093190752,0.02740135999546763,0.021685035210715457,0
0.4967835211011488,0.11415522594841006,0.12954891036677327,0
0.6985559786836862,0.2936492220071051,0.298268404005369,1
0.3154177543340025,0.05705092092137269,0.05125479308279548,1
0.6696588896886636,0.2500602789318148,0.25150648231117445,0
0.17383398676095518,0.026536820075269342,0.021685035210715457,0
0.5093609807174324,0.1240106376257569,0.15398234765604357,0
0.25760816408000675,0.0411682907470033,0.040707732521022735,0
0.3633146267586293,0.07114122737199244,0.07608984313801519,0
0.6294714553552901,0.21388339721464483,0.2015771347038786,0
0.3854532050559187,0.0721882265454509,0.06525357481137091,1
0.5266705540053475,0.12773864358215828,0.12564840538348238,1
0.2198960826264099,0.034128150958787726,0.02801866069129134,0
0.3245660924661345,0.05576046255209186,0.057166340010952374,0
0.09595536466294284,0.019465638412730978,0.004123803760729734,0
0.5321707988557397,0.16543697658739384,0.1749730427846697,0
0.6428774939718124,0.21180398759715685,0.20731059822654735,0
0.1592751279466139,0.0252119079861985,0.014699741093068397,0
0.5773963985437202,0.184446089966135,0.18450241560629094,0
0.18408763954166063,0.029354435959226072,0.021685035210715457,0
0.4320398296844721,0.10877540712068808,0.13137151227410956,0
0.4264019503050671,0.09096647036958369,0.1076041346421958,0
0.33127965942194704,0.05990715099077767,0.06321997985769567,0
0.28580790140147105,0.04826504799191461,0.048631069594971446,0
0.29823084409179884,0.048036614400963615,0.0420008990017986,0
0.5704842460143852,0.16199365332310872,0.15137351492321066,0
0.3382230328221068,0.05947210409639263,0.06321997985769567,0
0.21119712503131316,0.032376464830971494,0.025441813078472503,0
0.2662663273483056,0.0442238876191601,0.04847944131181052,1
0.41819443208920726,0.08701291727983222,0.09057497498100796,0
0.31804257467625247,0.05696818149558858,0.05730843292953878,0
0.2540280703245365,0.041222737866281264,0.040707732521022735,0
0.308322616725942,0.05371985979839875,0.05125479308279548,0
0.28302442897043484,0.04501358846311257,0.042355039397934925,0
0.5418032136815637,0.17717650602744756,0.16251965698560128,1
0.3777705756143223,0.0748419671961477,0.07550966000406867,0
0.17487921192786848,0.027756612812799675,0.01834414240850319,1
0.18745235397175755,0.031125171031366743,0.022494587932836485,0
0.4578318081058157,0.1073291621322329,0.13960962914769032,0
0.5247236001881653,0.14363758345011685,0.15846510627673321,0
0.17975382845070034,0.029920273899224765,0.025329436526150252,0
0.5969496956140967,0.1997101609209428,0.2015771347038786,0
0.21667451998125936,0.03633893977799578,0.028830114952201807,0
0.07218087438249018,0.0170557478108618,0.004123803760729734,0
0.29999712852367805,0.05174836722989319,0.04930850361432071,0
0.666625941820805,0.24232743568207882,0.2293358660480817,1
0.08398996185731018,0.018205794649126413,0.004123803760729734,0
0.3506057941799278,0.06330202768313592,0.06321997985769567,0
0.21903216604200418,0.033177054645582064,0.025329436526150252,0
0.21101754294142394,0.03604674761812825,0.034583330607147134,0
0.13440839670070123,0.021372247679719486,0.004123803760729734,0
0.07712669715440938,0.01762028790428675,0.0012461059190031153,0
0.25243250679854395,0.03992805637327824,0.03145383844002585,0
0.30917730947544997,0.05263996934533928,0.05125479308279548,0
0.45938857167048724,0.10818365028973194,0.13111524996365595,0
0.40848924408969367,0.08639874518038845,0.10373869693797615,0
0.5759675338724055,0.17587374365701408,0.1605430283546553,0
0.30469461512287493,0.04855782580784741,0.05222594830389208,0
0.3230730692316385,0.054271144222180934,0.05730843292953878,0
0.22574052222405178,0.03552228288515224,0.03145383844002585,0
0.7584861586628941,0.3661421442531861,0.37843276114891644,0
0.1387501944721608,0.023299220637175332,0.009653757677780424,0
0.2941467042804902,0.05030479419482185,0.05125479308279548,0
0.3813166249004065,0.08050786346519093,0.09049076525291119,0
0.6185429626155056,0.1899860682163357,0.1749730427846697,0
0.32805961459275323,0.06132580797399782,0.057166340010952374,0
0.6269841513364655,0.22253112048249885,0.22574593265784276,0
0.6164071952612997,0.2154766973935564,0.18450241560629094,0
0.0890259224575909,0.017984962059497196,0.0012461059190031153,0
0.2376815924593963,0.037204616883974126,0.03469570715946939,0
0.23702178166704008,0.037263567870641404,0.0315193391173429,0
0.61316612485625,0.21382712331499656,0.20660141305388202,0
0.23050357294676366,0.033022248777327554,0.028830114952201807,0
0.1282166781100007,0.02231382188658844,0.004123803760729734,0
0.5032839367911741,0.13081020661245374,0.16934250798033587,0
0.521150711018587,0.13183301236501427,0.14423543241309628,0
0.17352308404576808,0.027654238534299845,0.022752588913331415,0
0.1271070793058107,0.02273766092634043,0.00659293956319887,0
0.5729704537266009,0.17561725666338873,0.16086359071930662,0
0.1999054067221563,0.02832059470743443,0.01834414240850319,0
0.44065744142312774,0.09943637134385039,0.10336990064358069,0
0.26972221299039095,0.045815939609035954,0.04847944131181052,0
0.6939903823162409,0.28501846984183554,0.29087911304815867,0
0.16802852592872036,0.027372813282351832,0.021685035210715457,0
0.5253433191138496,0.1269797423579921,0.12372604513503516,1
0.19763671468392205,0.032172678054389135,0.025329436526150252,0
0.572025470765819,0.19013699785243748,0.16798187415286275,0
0.3009703454323393,0.04777292965082601,0.04585571782398649,1
0.39610459884352217,0.0862952726046439,0.0967638630030603,0
0.42061419733011574,0.1003489960503386,0.12094754039513349,0
0.2272984349115024,0.03500751422723053,0.030287260654641164,0
0.16184685336569454,0.026072046609696465,0.015509293815189427,0
0.797841408926398,0.39072724913664447,0.41820170749853425,0
0.1195306787710331,0.020820360090317663,0.004123803760729734,0
0.6777279306039131,0.2505018035650898,0.22901518042862334,0
0.23506392654818672,0.038739351373335715,0.0315193391173429,0
0.16257596221779758,0.02533042142576559,0.009169787176017704,0
0.2276477020329496,0.041082124430762715,0.040707732521022735,0
0.2891774492014405,0.04667794050773327,0.04847944131181052,0
0.06712272947238504,0.016690464916118954,0.004123803760729734,0
0.05357192914800618,0.01510230216917825,0.0,0
0.12335897626214883,0.021134251710617703,0.00659293956319887,0
0.2577524816205049,0.04229844392760029,0.03793838460502602,0
0.18961310511059684,0.02799289415627306,0.021685035210715457,0
0.28668220801809646,0.04913549981241523,0.05125479308279548,0
0.1337395411467483,0.026932642840236436,0.019108187597896623,0
0.1594689021669123,0.024806873191368973,0.009979339898138734,0
0.3371198088202125,0.06256343826287704,0.06321997985769567,0
